TaskID,Name,WBS,Outline Level,Duration,Predecessors,% Complete,Baseline Start,Baseline Finish,Start,Finish,Owner
2305,"App G - Install App Server",2.3.05,3,4,"2111,2207",100,2025-05-19,2025-05-23,2025-05-25,2025-05-29,f
2306,"App G - Database Provisioning",2.3.06,3,3,2305SS,100,2025-05-19,2025-05-22,2025-05-25,2025-05-28,dsfsdfs
2307,"App G - Initial Data Sync",2.3.07,3,6,2306,20,2025-05-22,2025-05-28,2025-05-28,2025-06-03,dscsdc
2308,"App G - DEV Testing",2.3.08,3,3,2305FF+1d,100,2025-05-24,2025-05-27,2025-05-30,2025-06-02,zdczc
240,"QA & Staging Deployments",2.4,2,0,,0,2025-05-28,2025-05-28,2025-06-03,2025-06-03,zdfdzc
2401,"T1 Apps QA Deployment",2.4.01,3,7,"2104,2108,2112",0,2025-05-28,2025-06-04,2025-06-03,2025-06-10,zczc
2402,"T2 Apps QA Deployment",2.4.02,3,5,"2204,2208",0,2025-05-28,2025-06-02,2025-06-03,2025-06-08,aaa
2403,"T3 Apps QA Deployment",2.4.03,3,4,"2304,2308",0,2025-05-28,2025-06-01,2025-06-03,2025-06-07,ddd
2404,"T1 Apps Staging Deployment",2.4.04,3,6,2401,0,2025-06-04,2025-06-10,2025-06-10,2025-06-16,dcsd
2405,"T2 Apps Staging Deployment",2.4.05,3,4,2402,0,2025-06-02,2025-06-06,2025-06-08,2025-06-12,sdsd
2406,"T3 Apps Staging Deployment",2.4.06,3,3,2403,0,2025-06-01,2025-06-04,2025-06-07,2025-06-10,f
250,"QA & Staging Testing",2.5,2,0,,0,2025-06-10,2025-06-10,2025-06-16,2025-06-16,dsfsdfs
2501,"T1 Apps QA/UAT",2.5.01,3,10,2404,0,2025-06-10,2025-06-20,2025-06-16,2025-06-26,dscsdc
2502,"T2 Apps QA/UAT",2.5.02,3,8,2405,0,2025-06-06,2025-06-14,2025-06-12,2025-06-20,zdczc
2503,"T3 Apps QA/UAT",2.5.03,3,6,2406,0,2025-06-04,2025-06-10,2025-06-10,2025-06-16,zdfdzc
2504,"T1 Apps Staging Test",2.5.04,3,5,2404FF,0,2025-06-10,2025-06-15,2025-06-16,2025-06-21,zczc
2505,"T2 Apps Staging Test",2.5.05,3,3,2405FF,0,2025-06-06,2025-06-09,2025-06-12,2025-06-15,aaa
2506,"T3 Apps Staging Test",2.5.06,3,2,2406FF,0,2025-06-04,2025-06-06,2025-06-10,2025-06-12,ddd
260,"Final Data Replication Setup",2.6,2,0,,0,2025-06-20,2025-06-20,2025-06-26,2025-06-26,dcsd
2601,"Data Replication Sign-off (T1)",2.6.01,3,2,2501,0,2025-06-20,2025-06-22,2025-06-26,2025-06-28,sdsd
2602,"Data Replication Sign-off (T2)",2.6.02,3,1,2502,0,2025-06-14,2025-06-15,2025-06-20,2025-06-21,f
2603,"Data Replication Sign-off (T3)",2.6.03,3,1,2503,0,2025-06-10,2025-06-11,2025-06-16,2025-06-17,dsfsdfs
270,"Pre-Cutover Readiness Check",2.7,2,5,"2601,2602,2603",0,2025-06-22,2025-06-27,2025-06-28,2025-07-03,dscsdc
3,"PHASE 3: CUTOVER & VALIDATION (36 Tasks)",3,1,0,,0,2025-06-27,2025-06-27,2025-07-03,2025-07-03,zdczc
310,"PREP & DRY RUNS",3.1,2,0,,0,2025-06-27,2025-06-27,2025-07-03,2025-07-03,zdfdzc
3101,"Final Go/No-Go Meeting 1",3.1.01,3,1,270,0,2025-06-27,2025-06-28,2025-07-03,2025-07-04,zczc
3102,"Production Dry Run (T1)",3.1.02,3,3,3101,0,2025-06-28,2025-07-01,2025-07-04,2025-07-07,aaa
3103,"Production Dry Run (T2)",3.1.03,3,2,3101SS+1d,0,2025-06-28,2025-06-30,2025-07-04,2025-07-06,ddd
3104,"Production Dry Run (T3)",3.1.04,3,1,3101SS+2d,0,2025-06-29,2025-06-30,2025-07-05,2025-07-06,dcsd
3105,"DR Test Planning",3.1.05,3,5,3102,0,2025-07-01,2025-07-06,2025-07-07,2025-07-12,sdsd
3106,"DR Test Execution (T1 Apps)",3.1.06,3,5,3105,0,2025-07-06,2025-07-11,2025-07-12,2025-07-17,f
3107,"DR Test Execution (T2 Apps)",3.1.07,3,3,3105SS,0,2025-07-06,2025-07-09,2025-07-12,2025-07-15,dsfsdfs
3108,"DR Test Execution (T3 Apps)",3.1.08,3,2,3105SS+1d,0,2025-07-07,2025-07-09,2025-07-13,2025-07-15,dscsdc
320,"FINAL CUTOVER",3.2,2,0,,0,2025-07-11,2025-07-11,2025-07-17,2025-07-17,zdczc
3201,"Final Go/No-Go Meeting 2",3.2.01,3,1,3106FF,0,2025-07-11,2025-07-12,2025-07-17,2025-07-18,zdfdzc
3202,"Freeze Old DC Environment",3.2.02,3,1,3201,0,2025-07-12,2025-07-13,2025-07-18,2025-07-19,zczc
3203,"Final Differential Data Sync",3.2.03,3,2,3202,0,2025-07-13,2025-07-15,2025-07-19,2025-07-21,aaa
3204,"Application Restart in New DC",3.2.04,3,1,3203,0,2025-07-15,2025-07-16,2025-07-21,2025-07-22,ddd
3205,"Final DNS & Load Balancer Cutover",3.2.05,3,1,3204,0,2025-07-16,2025-07-17,2025-07-22,2025-07-23,dcsd
330,"POST-CUTOVER VALIDATION",3.3,2,0,,0,2025-07-17,2025-07-17,2025-07-23,2025-07-23,sdsd
3301,"T1 Smoke Test (Live Traffic)",3.3.01,3,2,3205,0,2025-07-17,2025-07-19,2025-07-23,2025-07-25,f
3302,"T2 Smoke Test (Live Traffic)",3.3.02,3,1,3205SS,0,2025-07-17,2025-07-18,2025-07-23,2025-07-24,dsfsdfs
3303,"T3 Smoke Test (Live Traffic)",3.3.03,3,1,3205SS,0,2025-07-17,2025-07-18,2025-07-23,2025-07-24,dscsdc
3304,"Business Acceptance Testing (BAT)",3.3.04,3,5,3301FF,0,2025-07-19,2025-07-24,2025-07-25,2025-07-30,zdczc
3305,"Hypercare - Day 1",3.3.05,3,1,3205SS,0,2025-07-17,2025-07-18,2025-07-23,2025-07-24,zdfdzc
3306,"Hypercare - Week 1",3.3.06,3,5,3305,0,2025-07-18,2025-07-23,2025-07-24,2025-07-29,zczc
3307,"Hypercare - Week 2",3.3.07,3,5,3306,0,2025-07-23,2025-07-28,2025-07-29,2025-08-03,aaa
340,"FINAL SIGNOFFS",3.4,2,0,,0,2025-07-28,2025-07-28,2025-08-03,2025-08-03,ddd
3401,"Final System Signoff",3.4.01,3,1,3304,0,2025-07-28,2025-07-29,2025-07-30,2025-07-31,dcsd
3402,"Handover to Operations",3.4.02,3,1,3401,0,2025-07-29,2025-07-30,2025-07-31,2025-08-01,sdsd
4,"PHASE 4: CLOSEOUT (10 Tasks)",4,1,0,,0,2025-07-30,2025-07-30,2025-08-01,2025-08-01,f
410,"Project Documentation Finalization",4.1,2,5,3402,0,2025-07-30,2025-08-04,2025-08-01,2025-08-06,dsfsdfs
411,"Lessons Learned Workshop",4.1.1,3,2,410SS,0,2025-07-30,2025-08-01,2025-08-01,2025-08-03,dscsdc
420,"Financial Closure",4.2,2,3,410FF-1d,0,2025-08-03,2025-08-06,2025-08-05,2025-08-08,zdczc
421,"Vendor Contract Closure",4.2.1,3,5,420SS,0,2025-08-03,2025-08-08,2025-08-08,2025-08-13,zdfdzc
430,"Old DC Decommissioning Planning",4.3,2,10,410,0,2025-08-04,2025-08-14,2025-08-06,2025-08-16,zczc
431,"Decommissioning Phase 1 (Non-Critical)",4.3.1,3,15,430,0,2025-08-14,2025-08-29,2025-08-16,2025-08-31,aaa
432,"Decommissioning Phase 2 (Critical)",4.3.2,3,10,431,0,2025-08-29,2025-09-08,2025-08-31,2025-09-10,ddd
440,"Final Project Closeout Report",4.4,2,2,432FF,0,2025-09-08,2025-09-10,2025-09-10,2025-09-12,dcsd
441,"Project Team Release",4.4.1,3,1,440,0,2025-09-10,2025-09-11,2025-09-12,2025-09-13,sdsd
442,"Celebrate Success!",4.4.2,3,1,441,0,2025-09-11,2025-09-12,2025-09-13,2025-09-14,f
